course_name,course_credit,course_description
Cloud Computing,4,Introduction to cloud architecture deployment models and virtualization concepts
Cyber Security,3,Fundamentals of network security cryptography and ethical hacking
Artificial Intelligence,4,Core concepts of intelligent agents search algorithms and reasoning systems
Blockchain Technology,3,Distributed ledger technology smart contracts and decentralized applications
DevOps Engineering,3,CI CD pipelines containerization automation and infrastructure as code
Internet of Things,3,Connected devices sensors communication protocols and IoT architecture
Software Testing,2,Manual and automated testing techniques quality assurance and test case design
Mobile App Development,3,Design and development of mobile applications for Android and iOS platforms
UI UX Design,2,User interface design principles user experience research and prototyping
Big Data Analytics,4,Processing and analyzing large datasets using distributed computing frameworks
